"th","generic_name","manufacturer","Drugregistration","Trade_name","Year_published","Volume_no","Remark"
"40","Amitriptyline hydrochloride tablets","The Government Pharmaceutical Organization (GPO)","1A 120/45","AMITRIPTYLINE HYDROCHLORIDE TABLETS 25 MG","2562","2019",
"41","Amitriptyline hydrochloride tablets","Utopian Co., Ltd.","1A 946/30","AMITRIP 10","2562","2019",
"42","Amitriptyline hydrochloride tablets","Pharmasant Laboratories Co., Ltd.","1A 304/35","POLYTANOL 10","2566","2023",
"43","Amitriptyline hydrochloride tablets","The Government Pharmaceutical Organization (GPO)","1A 119/45","AMITRIPTYLINE HYDROCHLORIDE TABLETS 10 MG","2566","2023",
"44","Amitriptyline hydrochloride tablets","The Government Pharmaceutical Organization (GPO)","1A 120/45","AMITRIPTYLINE HYDROCHLORIDE TABLETS 25 MG","2566","2023",
"45","Amlodipine besilate tablets","Berlin Pharmaceutical Industry Co., Ltd.","1A 13/43(NG)","AMLOPINE 10","2562","2019",
"46","Amlodipine besilate tablets","Berlin Pharmaceutical Industry Co., Ltd.","1A 14/43(NG)","AMLOPINE","2562","2019",
"47","Amlodipine besilate tablets","Cadila Healthcare Ltd. (Republic of India)","1C 14/55(NG)","AMLODAC 5","2562","2019",
"48","Amlodipine besilate tablets","Cadila Healthcare Ltd. (Republic of India)","1C 42/53(NG)","AMLODAC 10","2562","2019",
"49","Amlodipine besilate tablets","Millimed Co., Ltd.","1A 1/60(NG)","AMVAS 10","2562","2019",
"50","Amlodipine besilate tablets","Polipharm Co., Ltd.","1A 30/59(NG)","AMLOVASC 5","2562","2019",
"51","Amlodipine besilate tablets","Siam Bheasach Co., Ltd.","1A 16/47(NG)","DETEN (5 MG TABLET)","2562","2019",
"52","Amlodipine besilate tablets","Siam Bheasach Co., Ltd.","1A 17/47(NG)","DETEN (10 MG TABLET)","2562","2019",
"53","Amlodipine besilate tablets","T.O. Chemicals (1979) Co., Ltd.","1A 36/50(NG)","NARVIN 5","2562","2019",
"54","Amlodipine besilate tablets","T.O. Chemicals (1979) Co., Ltd.","1A 37/50(NG)","NARVIN 10","2562","2019",
"55","Amlodipine besilate tablets","The Government Pharmaceutical Organization (GPO)","1A 19/59(NG)","AMBES-10","2562","2019",
"56","Amlodipine besilate tablets","The Government Pharmaceutical Organization (GPO)","1A 26/59(NG)","AMBES-5","2562","2019",
"57","Amlodipine besilate tablets","Unique Pharmaceutical Laboratories (Republic of India)","1C 31/54(NG)","AMCARDIA-5","2562","2019",
"58","Amlodipine besilate tablets","Unison Laboratories Co., Ltd.","1A 45/50(NG)","AMLOD 10","2562","2019",
"59","Amlodipine besilate tablets","Berlin Pharmaceutical Industry Co., Ltd.","1A 13/43(NG)","AMLOPINE 10","2565","2022",
"60","Amlodipine besilate tablets","Berlin Pharmaceutical Industry Co., Ltd.","1A 14/43(NG)","AMLOPINE","2565","2022",
"61","Amlodipine besilate tablets","Community Pharmacy Public Co., Ltd.","1A 73/60(NG)","AMLOPRESS 5","2565","2022",
"62","Amlodipine besilate tablets","Community Pharmacy Public Co., Ltd.","1A 74/60(NG)","AMLOPRESS 10","2565","2022",
"63","Amlodipine besilate tablets","Siam Bheasach Co., Ltd.","1A 16/47(NG)","DETEN (5 MG TABLET)","2565","2022",
"64","Amlodipine besilate tablets","Siam Bheasach Co., Ltd.","1A 17/47(NG)","DETEN (10 MG TABLET)","2565","2022",
"65","Amlodipine besilate tablets","The Government Pharmaceutical Organization (GPO)","1A 19/59(NG)","AMBES-10","2565","2022",
"66","Amlodipine besilate tablets","The Government Pharmaceutical Organization (GPO)","1A 26/59(NG)","AMBES-5","2565","2022",
"67","Amoxicillin trihydrate + Potassium clavulanate dry syrup","Medreich Ltd. (Republic of India)","2C 10/56","FLEMING (FOR ORAL SUSPENSION 228.5 MG/5 ML)","2561","2018",
"68","Amoxicillin trihydrate + Potassium clavulanate dry syrup","Medreich Ltd. (Republic of India)","2C 11/56","FLEMING (FOR ORAL SUSPENSION 457 MG/5 ML)","2561","2018",
"69","Amoxicillin trihydrate + Potassium clavulanate dry syrup","R.X. Manufacturing Co., Ltd.","2A 53/49","AMK 457","2561","2018",
"70","Amoxicillin trihydrate + Potassium clavulanate dry syrup","R.X. Manufacturing Co., Ltd.","2A 69/50","AMK 228","2561","2018",
"71","Amoxicillin trihydrate + Potassium clavulanate dry syrup","Siam Bheasach Co., Ltd.","2A 3/49","CAVUMOX SYRUP ES 600","2561","2018",
"72","Amoxicillin trihydrate + Potassium clavulanate dry syrup","R.X. Manufacturing Co., Ltd.","2A 54/49","AMK 312","2565","2022",
"73","Amoxicillin trihydrate + Potassium clavulanate dry syrup","R.X. Manufacturing Co., Ltd.","2A 79/59","AMK ES-600","2565","2022",
"74","Amoxicillin trihydrate + Potassium clavulanate sterile powder","North China Pharmaceutical Co., Ltd. (Peopleโ€s Republic of China)","2C 19/52","AMK INJECTION 1.2 G","2563","2020",
"75","Amoxicillin trihydrate + Potassium clavulanate tablets","Medreich Ltd. (Republic of India)","2C 7/56","FLEMING 625 MG TABLETS","2563","2020",
"76","Amoxicillin trihydrate + Potassium clavulanate tablets","Medreich Ltd. (Republic of India)","2C 8/56","FLEMING 1000 MG TABLETS","2563","2020",
"77","Amoxicillin trihydrate + Potassium clavulanate tablets","R.X. Manufacturing Co., Ltd.","2A 55/49","AMK 1000","2563","2020",
"78","Amoxicillin trihydrate + Potassium clavulanate tablets","Sandoz GmbH (Republic of Austria)","2C 58/46","CURAM 1000 MG","2563","2020",
"79","Amoxicillin trihydrate + Potassium clavulanate tablets","Siam Bheasach Co., Ltd.","2A 95/46","CAVUMOX (1 G TABLET )","2563","2020",
"80","Amoxicillin trihydrate + Potassium clavulanate tablets","Sun Pharmaceutical Industries Ltd. (Republic of India)","2C 15/60","RANCLAV TABLETS 1 G","2563","2020",
"81","Amoxicillin trihydrate capsules","The Government Pharmaceutical Organization (GPO)","1A 383/51","GPO MOX CAPSULES 500 MG","2563","2020",
"82","Amoxicillin trihydrate capsules","The Government Pharmaceutical Organization (GPO)","1A 47/57","GPO MOX (CAPSULES 250 MG)","2563","2020",
"83","Amoxicillin trihydrate capsules","The Government Pharmaceutical Organization (GPO)","1A 383/51","GPO MOX CAPSULES 500 MG","2565","2022",
"84","Amphotericin B sterile powder","Biolab Co., Ltd.","1A 100/47","AMPHOTERICIN-B","2562","2019",
"85","Ampicillin sodium + Sulbactam sodium sterile powder","Siam Bheasach Co., Ltd.","2A 123/50","SULAM (3 G INJECTION)","2561","2018",
"86","Ampicillin sodium + Sulbactam sodium sterile powder","Siam Bheasach Co., Ltd.","2A 8/46","SULAM (1.5 G INJECTION )","2561","2018",
"87","Ampicillin sodium sterile powder","T.P. Drug Laboratories (1969) Co., Ltd.","1A 1349/29","STERILE AMPICILLIN SODIUM","2563","2020",
"88","Ampicillin sodium sterile powder","General Drugs House Co., Ltd.","1A 487/30","STERILE AMPICILLIN SODIUM","2565","2022",
"89","Ampicillin sodium sterile powder","T.P. Drug Laboratories (1969) Co., Ltd.","1A 1349/29","STERILE AMPICILLIN SODIUM","2565","2022",
"90","Aspirin tablets","Asian Pharmaceutical Co., Ltd.","1A 2301/28","ENTRARIN ENTERIC COATED TABLETS","2562","2019",
"91","Aspirin tablets","Olic (Thailand) Ltd.","1A 1287/41","ASPENT-M","2562","2019",
"92","Aspirin tablets","Osoth Inter Laboratories Co., Ltd.","1A 270/48","B-ASPIRIN 81","2562","2019",
"93","Aspirin tablets","Osoth Inter Laboratories Co., Ltd.","1A 443/56","ASPREX 81","2562","2019",
"94","Aspirin tablets","Osoth Inter Laboratories Co., Ltd.","1A 466/56","ASPREX 300","2562","2019",
"95","Aspirin tablets","Patar Lab (2517) Co., Ltd.","1A 207/57","ASPIRIN TABLETS","2562","2019",
"96","Aspirin tablets","Patar Lab (2517) Co., Ltd.","1A 81/57","PIRIN (FILM ENTERIC COATED)","2562","2019",
"97","Aspirin tablets","Polipharm Co., Ltd.","1A 32/52","ASCOT 81","2562","2019",
"98","Aspirin tablets","T.O. Pharma Co., Ltd.","1A 381/48","ASATAB","2562","2019",
"99","Aspirin tablets","The British Dispensary (L.P.) Co., Ltd.","1A 40/27","ASPIRIN TABLETS","2562","2019",
"100","Atenolol tablets","Berlin Pharmaceutical Industry Co., Ltd.","1A 491/36","PRENOLOL 25","2565","2022",
"101","Atenolol tablets","Berlin Pharmaceutical Industry Co., Ltd.","1A 495/32","PRENOLOL 100","2565","2022",
"102","Atenolol tablets","Berlin Pharmaceutical Industry Co., Ltd.","1A 496/32","PRENOLOL 50","2565","2022",
"103","Atenolol tablets","Pharmasant Laboratories Co., Ltd.","1A 905/43","TETALIN 50","2565","2022",
"104","Atorvastatin tablets","Lek Pharmaceuticals D.D. (Republic of Slovenia)","1C 14/52(NG)","ATORVASTATIN SANDOZ 20 MG","2562","2019",
"105","Atorvastatin tablets","Lek Pharmaceuticals D.D. (Republic of Slovenia)","1C 15/52(NG)","ATORVASTATIN SANDOZ 40 MG","2562","2019",
"106","Atorvastatin tablets","Lek Pharmaceuticals D.D. (Republic of Slovenia)","1C 21/52(NG)","ATORVASTATIN SANDOZ 10 MG","2562","2019",
"107","Atorvastatin tablets","Millimed Co., Ltd.","1A 37/56(NG)","CHLOVAS-40","2562","2019",
"108","Atorvastatin tablets","Millimed Co., Ltd.","1A 37/56(NG)","CHLOVAS-40","2566","2023",
"109","Atorvastatin tablets","Siam Bheasach Co., Ltd.","1A 22/62(NG)","LIPOSTAT (10 MG TABLET)","2566","2023",
"110","Atorvastatin tablets","Siam Bheasach Co., Ltd.","1A 23/62(NG)","LIPOSTAT (20 MG TABLET)","2566","2023",
"111","Atorvastatin tablets","Siam Bheasach Co., Ltd.","1A 24/62(NG)","LIPOSTAT (40 MG TABLET)","2566","2023",
"112","Atorvastatin tablets","T.O. Chemicals (1979) Co., Ltd.","1A 43/62(NG)","TOVASTIN 20","2566","2023",
"113","Atorvastatin tablets","T.O. Chemicals (1979) Co., Ltd.","1A 44/62(NG)","TOVASTIN 40","2566","2023",
"114","Atorvastatin tablets","Unison Laboratories Co., Ltd.","1A 39/61(NG)","ATORVIN 10","2566","2023",
"115","Atorvastatin tablets","Unison Laboratories Co., Ltd.","1A 41/61(NG)","ATORVIN 40","2566","2023",
"116","Atropine sulfate sterile solution","The Government Pharmaceutical Organization (GPO)","1A 680/43","ATROPINE SULFATE INJECTION 0.60 MG/ML","2561","2018",
"117","Azathioprine tablets","Excella GmbH (Federal Republic of Germany)","1C 247/52","IMURAN (TABLETS 50 MG)","2561","2018",
"118","Azathioprine tablets","Remedica Ltd. (Republic of Cyprus)","1C 75/53","IMUPRIN 50","2561","2018",
"119","Azathioprine tablets","Teva Czech Industries s.r.o. (Czech Republic)","1C 47/55","AZATHIOPRINE PCH","2561","2018",
"120","Baclofen tablets","Macrophar Co., Ltd.","1A 412/48","FENISAL","2561","2018",
"121","Baclofen tablets","Novartis Farma S.p.A. (Republic of Italy)","1C 291/42","LIORESAL 10","2561","2018",
"122","Baclofen tablets","Polipharm Co., Ltd.","1A 272/52","MUSCLOFEN","2561","2018",
"123","Baclofen tablets","Sriprasit Pharma Co., Ltd.","1A 403/48","LIOBAC","2561","2018",
"124","Baclofen tablets","M & H Manufacturing Co., Ltd.","1A 759/43","BACLOSAL","2565","2022",
"125","Baclofen tablets","Polipharm Co., Ltd.","1A 272/52","MUSCLOFEN","2565","2022",
"126","Baclofen tablets","The British Dispensary (L.P.) Co., Ltd.","1A 246/44","BACLOFEN TABLETS","2565","2022",
"127","Bisoprolol fumarate tablets","Unison Laboratories Co., Ltd.","1A 32/55(NG)","BISLOC 2.5","2565","2022",
"128","Bisoprolol fumarate tablets","Unison Laboratories Co., Ltd.","1A 33/55(NG)","BISLOC 5","2565","2022",
"129","Calcium carbonate tablets","Millimed Co., Ltd.","1A 251/45","CALTAB","2561","2018",
"130","Calcium carbonate tablets","Millimed Co., Ltd.","1A 289/45","CALTAB-835","2561","2018",
"131","Calcium carbonate tablets","Millimed Co., Ltd.","1A 338/50","CALTAB-1000","2561","2018",
"132","Calcium carbonate tablets","Umeda Co., Ltd.","1A 47/45","CHALKTAB-350","2561","2018",
"133","Calcium carbonate tablets","Umeda Co., Ltd.","1A 48/49","CHALKCAP-1000","2561","2018",
"134","Calcium gluconate sterile solution","The Government Pharmaceutical Organization (GPO)","1A 3/48","CACIUM GLUCONATE INJECTION","2566","2023",
"135","Candesartan cilexetil + Hydrochlorothiazide tablets","Delpharm Novara S.r.L. (Republic of Italy)","2B 1/48(N)","BLOPRESS 16 MG PLUS","2563","2020",
"136","Candesartan cilexetil tablets","T.O. Chemicals (1979) Co., Ltd.","1A 47/56(NG)","TODESAAR 16","2563","2020",
"137","Candesartan cilexetil tablets","Unison Laboratories Co., Ltd.","1A 16/59(NG)","FINIL 16","2563","2020",
"138","Candesartan cilexetil tablets","T.O. Chemicals (1979) Co., Ltd.","1A 47/56(NG)","TODESAAR 16","2565","2022",
"139","Captopril tablets","Pharmasant Laboratories Co., Ltd.","1A 172/37","GEMZIL","2565","2022",
"140","Captopril tablets","Remedica Ltd. (Republic of Cyprus)","1C 130/34","EPSITRON 25","2565","2022",
"141","Carbamazepine tablets","Pharmasant Laboratories Co., Ltd.","1A 527/33","CARMAPINE TABLETS","2562","2019",
"142","Carvedilol tablets","Berlin Pharmaceutical Industry Co., Ltd.","1A 21/50(NG)","CARATEN 12.5","2566","2023",
"143","Carvedilol tablets","Berlin Pharmaceutical Industry Co., Ltd.","1A 22/50(NG)","CARATEN 6.25","2566","2023",
"144","Carvedilol tablets","Berlin Pharmaceutical Industry Co., Ltd.","1A 9/49(NG)","CARATEN 25","2566","2023",
"145","Carvedilol tablets","T.O. Chemicals (1979) Co., Ltd.","1A 48/64(NG)","TOCARLOL 6.25","2566","2023",
"146","Carvedilol tablets","T.O. Chemicals (1979) Co., Ltd.","1A 19/51(NG)","TOCARLOL 25","2566","2023",
"147","Carvedilol tablets","The Government Pharmaceutical Organization (GPO)","1A 33/62(NG)","CARVOLOL (6.25 MG)","2566","2023",
"148","Cefazolin sodium sterile powder","Modern Manu Co., Ltd.","1A 145/42","ZOFALIN","2565","2022",
"149","Cefazolin sodium sterile powder","Siam Bheasach Co., Ltd.","1A 1807/30","FAZOLIN INJECTION 1 G","2565","2022",
"150","Cefazolin sodium sterile powder","T.P. Drug Laboratories (1969) Co., Ltd.","1A 440/52","CEFAZILLIN","2565","2022",
"151","Cefdinir capsules","Siam Bheasach Co., Ltd.","1A 7/48(NG)","SAMNIR 100 MG CAPSULE","2563","2020",
"152","Cefdinir dry syrup","Siam Bheasach Co., Ltd.","1A 46/50(NG)","SAMNIR SUSPENSION","2564","2021",
"153","Ceftazidime sterile powder","M & H Manufacturing Co., Ltd.","1A 355/40","ZEFTAM M.H.","2564","2021",
"154","Ceftazidime sterile powder","Reyoung Pharmaceutical Co., Ltd. (Peopleโ€s Republic of China)","1C 332/49","ZEDIM (1 G INJECTION)","2564","2021",
"155","Ceftazidime sterile powder","Siam Bheasach Co., Ltd.","1A 201/58","CEF-4 (2 G INJ)","2564","2021",
"156","Ceftriaxone sodium sterile powder","NCPC Hebei Huamin Pharmaceutical Co., Ltd., China","1C 8/61","REX-3","2565","2022",
"157","Ceftriaxone sodium sterile powder","Siam Bheasach Co., Ltd.","1A 117/52","CEF-3 INJECTION IV (2 G)","2565","2022",
"158","Ceftriaxone sodium sterile powder","Siam Bheasach Co., Ltd.","1A 554/34","CEF-3 INJECTION IV (1.0 G)","2565","2022",
"159","Ceftriaxone sodium sterile powder","Sinopharm Zhijun (Shenzhen) Pharmaceutical Co., Ltd., China","1C 175/55","TRIXOPHIN","2565","2022",
"160","Cefuroxime axetil dry syrup","Glaxo Wellcome Operations (United Kingdom of Great Britain and Northern Ireland)","1C 171/48","ZINNAT (SUSPENSION 125 MG)","2562","2019",
"161","Celecoxib capsules","Siam Bheasach Co., Ltd.","1A 18/58(NG)","CYBEC (200 MG CAPSULE)","2565","2022",
"162","Celecoxib capsules","Unison Laboratories Co., Ltd.","1A 11/62(NG)","CELXIB 400","2565","2022",
"163","Celecoxib capsules","Unison Laboratories Co., Ltd.","1A 71/60(NG)","CELXIB 200","2565","2022",
"164","Chloroquine phosphate tablets","The Government Pharmaceutical Organization (GPO)","1A 232/45","CHLOROQUINE PHOSPHATE TABLETS 250 MG","2563","2020",
"165","Chlorpheniramine maleate tablets","Inpac Pharma Co., Ltd.","1A 2710/29","CHLORPHENIRAMINE MALEATE (YELLOW)","2564","2021",
"166","Chlorpheniramine maleate tablets","Pharmasant Laboratories Co., Ltd.","1A 1243/30","HISTATAB TABLETS","2564","2021",
"167","Chlorpheniramine maleate tablets","T. Man Pharma Co., Ltd.","1A 1948/29","CHLORPHENIRAMINE MALEATE","2564","2021",
"168","Chlorpheniramine maleate tablets","Thai Nakorn Patana Co., Ltd.","1A 132/44","CHLOPHE","2564","2021",
"169","Cilostazol tablets","Berlin Pharmaceutical Industry Co., Ltd.","1A 11/60(NG)","BESTAZOL 100","2563","2020",
"170","Cilostazol tablets","Unison Laboratories Co., Ltd.","1A 44/53(NG)","CILOSOL","2563","2020",
"171","Cinnarizine tablets","Thai Nakorn Patana Co., Ltd.","1A 458/41","C-PELA","2566","2023",
"172","Ciprofloxacin hydrochloride tablets","Bangkok Lab & Cosmetic Co., Ltd.","1A 798/43","CIPROXYL 500","2565","2022",
"173","Ciprofloxacin hydrochloride tablets","Pharmasant Laboratories Co., Ltd.","1A 61/37","PROFLOX","2565","2022",
"174","Ciprofloxacin hydrochloride tablets","The Medicpharma Co., Ltd.","1A 222/51","FLOXCIPRO 500","2565","2022",
"175","Ciprofloxacin lactate sterile solution","Siam Bheasach Co., Ltd.","1A 32/60","CIFLOXIN INFUSION (2MG/ML)","2565","2022",
"176","Clarithromycin tablets","The Government Pharmaceutical Organization (GPO)","1A 13/52(NG)","CLACINA","2563","2020",
"177","Clindamycin hydrochloride capsules","The Government Pharmaceutical Organization (GPO)","1A 276/54","CLINDA GPO 150","2563","2020",
"178","Clindamycin hydrochloride capsules","The Government Pharmaceutical Organization (GPO)","1A 277/54","CLINDA GPO 300","2563","2020",
"179","Clopidogrel bisulfate tablets","Apotex Inc. (Canada)","1C 61/51(NG)","APOLETS","2563","2020",
"180","Clopidogrel bisulfate tablets","Cadila Pharmaceuticals Ltd. (Republic of India)","1C 17/57(NG)","CLOPIDOGREL TABLETS USP 75 MG","2563","2020",
"181","Clopidogrel bisulfate tablets","Apotex Inc. (Canada)","1C 61/51(NG)","APOLETS","2566","2023",
"182","Clopidogrel bisulfate tablets","Cadila Healthcare Ltd. (Republic of India)","1C 9/60(NG)","OKLOT","2566","2023",
"183","Clopidogrel bisulfate tablets","The Government Pharmaceutical Organization (GPO)","1A 59/60(NG)","CLOPIDOGREL GPO (75 MG)","2566","2023",
"184","Clotrimazole cream","2M (Med-Maker) Co., Ltd.","1A 621/43","LYMA CREAM","2562","2019",
"185","Clotrimazole cream","Bangkok Lab & Cosmetic Co., Ltd.","1A 339/44","FANGO CREAM","2562","2019",
"186","Clotrimazole cream","Burapha Dispensary Co., Ltd.","1A 136/34","CANDEX CREAM","2562","2019",
"187","Clotrimazole cream","Chinta Trading (1971) Co., Ltd.","1A 255/40","CHINGAZOL CREAM","2562","2019",
"188","Clotrimazole cream","Continental Pharm Co., Ltd.","1A 1134/44","FUNGICON CREAM","2562","2019",
"189","Clotrimazole cream","Encube Ethicals Pvt., Ltd. (Republic of India)","1C 12/59","CANESTEN","2562","2019",
"190","Clotrimazole cream","L.B.S. Laboratory Ltd., Part.","1A 556/30","CLOMAZ (CREAM)","2562","2019",
"191","Clotrimazole cream","New Life Pharma Co., Ltd.","1A 640/40","CLOTRIDERM","2562","2019",
"192","Clotrimazole cream","Nida Pharma Incorporation Co., Ltd.","1A 782/30","CLOMAZOL CREAM","2562","2019",
"193","Clotrimazole cream","Seven Stars Pharmaceutical Co., Ltd.","1A 294/57","COTTRA CREAM","2562","2019",
"194","Clotrimazole cream","T. Man Pharma Co., Ltd.","1A 726/32","MYDA CREAM","2562","2019",
"195","Clotrimazole cream","Thai Japan Laboratories Co., Ltd.","1A 1198/29","CANDINAS CREAM","2562","2019",
"196","Clotrimazole cream","Thai Nakorn Patana Co., Ltd.","1A 155/48","CANASONE","2562","2019",
"197","Clotrimazole cream","V & P Laboratory Co., Ltd.","1A 622/31","CANECIN CREAM","2562","2019",
"198","Clotrimazole vaginal tablets","B.L. Hua Co., Ltd.","1A 1838/29","KLAMACIN","2562","2019",
"199","Clotrimazole vaginal tablets","Bayer AG (Federal Republic of Germany)","1C 161/49","CANESTEN","2562","2019",
"200","Clotrimazole vaginal tablets","Charoen Bhaesaj Lab Co., Ltd.","1A 433/51","CANDINOX 1","2562","2019",
"201","Clotrimazole vaginal tablets","Nida Pharma Incorporation Co., Ltd.","1A 779/30","CLOMAZOL VAGINAL TABLETS","2562","2019",
"202","Clotrimazole vaginal tablets","Osoth Inter Laboratories Co., Ltd.","1A 607/42","P-GYZOLE","2562","2019",
"203","Clotrimazole vaginal tablets","Seven Stars Pharmaceutical Co., Ltd.","1A 119/52","STARDA VAGINAL-500","2562","2019",
"204","Clotrimazole vaginal tablets","Siam Bheasach Co., Ltd.","1A 2594/28","DEFUNGO VAGINAL TABLET","2562","2019",
"205","Clotrimazole vaginal tablets","Siam Bheasach Co., Ltd.","1A 425/48","DEFUNGO 1","2562","2019",
"206","Clotrimazole vaginal tablets","T. Man Pharma Co., Ltd.","1A 512/27","MYCODA VAGINAL TABLET","2562","2019",
"207","Clotrimazole vaginal tablets","T.O. Pharma Co., Ltd.","1A 39/48","CANAZOL VAGINAL TABLETS 500 MG","2562","2019",
"208","Clotrimazole vaginal tablets","V & P Laboratory Co., Ltd.","1A 407/32","CANECIN 500","2562","2019",
"209","Clozapine tablets","Atlantic Laboratories Corp., Ltd.","1A 20/47(NG)","CLORIL 100 MG","2563","2020",
"210","Clozapine tablets","Pharmasant Laboratories Co., Ltd.","1A 48/50(NG)","CLOZAPIN 25","2563","2020",
"211","Clozapine tablets","Pharmasant Laboratories Co., Ltd.","1A 49/50(NG)","CLOZAPIN 100","2563","2020",
"212","Clozapine tablets","The Medicpharma Co., Ltd.","1A 24/42(NG)","CLOPAZE 25","2563","2020",
"213","Clozapine tablets","The Medicpharma Co., Ltd.","1A 25/42(NG)","CLOPAZE 100","2563","2020",
"214","Colchicine tablets","Millimed Co., Ltd.","1A 164/46","PROCHIC","2566","2023",
"215","Colchicine tablets","Patar Lab (2517) Co., Ltd.","1A 282/56","KOJI","2566","2023",
"216","Colchicine tablets","Pharmasant Laboratories Co., Ltd.","1A 296/38","COLCHILY","2566","2023",
"217","Colchicine tablets","Polipharm Co., Ltd.","1A 445/52","GOUTIC","2566","2023",
